pop 2000 quad_random sigma_mc F=34 k=9 | base th=0 | k9c th=0.672942 eps=0.672942 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.129 s]
pop 2000 quad_random sigma_def F=34 k=24 | base th=0 | k9c th=0.144312 eps=0.144312 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.179 s]
pop 2004 voronoi sigma_mc F=48 k=38 | base th=0 | k9c th=0.976643 eps=0.976643 (k9) | natour not_run th=0 | natcol not_run th=0 [0.729 s]
pop 2004 voronoi sigma_def F=48 k=71 | base th=0 | k9c th=0.905376 eps=0.905376 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [1.657 s]
pop 2008 delaunay sigma_mc F=29 k=4 | base th=0 | k9c th=2.31816 eps=2.31816 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.317 s]
pop 2008 delaunay sigma_def F=29 k=11 | base th=0 | k9c th=2.70025 eps=2.70025 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.311 s]
pop 2012 quad_random sigma_mc F=100 k=25 | base th=0 | k9c th=0.687029 eps=0.687029 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [1.001 s]
pop 2012 quad_random sigma_def F=100 k=79 | base th=0 | k9c th=0.0493702 eps=0.0493702 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [1.116 s]
pop 2016 voronoi sigma_mc F=25 k=15 | base th=0 | k9c th=0.90429 eps=0.90429 (k9) | natour not_run th=0 | natcol not_run th=0 [0.28 s]
pop 2016 voronoi sigma_def F=25 k=29 | base th=0 | k9c th=2.1592 eps=2.1592 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.611 s]
pop 2020 delaunay sigma_mc F=78 k=12 | base th=0 | k9c th=2.63057 eps=2.63057 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.989 s]
pop 2020 delaunay sigma_def F=78 k=34 | base th=0 | k9c th=1.42878 eps=1.42878 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.697 s]
pop 2024 quad_random sigma_mc F=84 k=27 | base th=0 | k9c th=1.38107 eps=1.38107 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [1.002 s]
pop 2024 quad_random sigma_def F=84 k=66 | base th=0 | k9c th=0.449701 eps=0.449701 (k9b) | natour not_run th=0 | natcol not_run th=0 [0.955 s]
pop 2028 voronoi sigma_mc F=27 k=19 | base th=0 | k9c th=2.13345 eps=2.13345 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.808 s]
pop 2028 voronoi sigma_def F=27 k=35 | base th=0 | k9c th=2.73063 eps=2.73063 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.734 s]
pop 2032 delaunay sigma_mc F=29 k=3 | base th=0.559916 | k9c th=3.14159 eps=3.14159 (k9c/k9+B) | natour not_run th=0 | natcol not_run th=0 [0.41 s]
pop 2032 delaunay sigma_def F=29 k=10 | base th=0 | k9c th=3.14159 eps=3.14159 (k9c/k9b+B) | natour not_run th=0 | natcol not_run th=0 [0.319 s]
pop 2036 quad_random sigma_mc F=71 k=21 | base th=0 | k9c th=0.0796837 eps=0.0796837 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.135 s]
pop 2036 quad_random sigma_def F=71 k=51 | base th=0 | k9c th=0.229166 eps=0.229166 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.629 s]
pop 2040 voronoi sigma_mc F=59 k=46 | base th=0 | k9c th=0.163356 eps=0.163356 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.431 s]
pop 2040 voronoi sigma_def F=59 k=85 | base th=0 | k9c th=0.151483 eps=0.151483 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [1.84 s]
pop 2044 delaunay sigma_mc F=32 k=3 | base th=0 | k9c th=3.14159 eps=3.14159 (k9c/k9b+B) | natour not_run th=0 | natcol not_run th=0 [0.421 s]
