pop 2001 voronoi sigma_mc F=29 k=19 | base th=0 | k9c th=0.331465 eps=0.331465 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.15 s]
pop 2001 voronoi sigma_def F=29 k=37 | base th=0 | k9c th=0.524805 eps=0.524805 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.532 s]
pop 2005 delaunay sigma_mc F=28 k=2 | base th=0 | k9c th=3.13134 eps=3.13134 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.362 s]
pop 2005 delaunay sigma_def F=28 k=10 | base th=0 | k9c th=2.45472 eps=2.45472 (k9c/k9b+B) | natour not_run th=0 | natcol not_run th=0 [0.292 s]
pop 2009 quad_random sigma_mc F=81 k=22 | base th=0 | k9c th=0.168743 eps=0.168743 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.227 s]
pop 2009 quad_random sigma_def F=81 k=61 | base th=0 | k9c th=0.180709 eps=0.180709 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.745 s]
pop 2013 voronoi sigma_mc F=27 k=19 | base th=0 | k9c th=0.820773 eps=0.820773 (k9) | natour not_run th=0 | natcol not_run th=0 [0.336 s]
pop 2013 voronoi sigma_def F=27 k=37 | base th=0 | k9c th=2.4978 eps=2.4978 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.962 s]
pop 2017 delaunay sigma_mc F=78 k=13 | base th=0 | k9c th=0.873406 eps=0.873406 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.601 s]
pop 2017 delaunay sigma_def F=78 k=36 | base th=0 | k9c th=2.09585 eps=2.09585 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.82 s]
pop 2021 quad_random sigma_mc F=93 k=22 | base th=0 | k9c th=0 eps=0 (k9) | natour not_run th=0 | natcol not_run th=0 [0.124 s]
pop 2021 quad_random sigma_def F=93 k=65 | base th=0 | k9c th=0.407928 eps=0.407928 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [1.101 s]
pop 2025 voronoi sigma_mc F=41 k=32 | base th=0 | k9c th=0.769518 eps=0.769518 (k9) | natour not_run th=0 | natcol not_run th=0 [0.518 s]
pop 2025 voronoi sigma_def F=41 k=61 | base th=0 | k9c th=0.116148 eps=0.116148 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [1.065 s]
pop 2029 delaunay sigma_mc F=29 k=2 | base th=0 | k9c th=3.14159 eps=3.14159 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.351 s]
pop 2029 delaunay sigma_def F=29 k=11 | base th=0 | k9c th=2.5003 eps=2.5003 (k9c/k9b+B) | natour not_run th=0 | natcol not_run th=0 [0.296 s]
pop 2033 quad_random sigma_mc F=88 k=22 | base th=0 | k9c th=0.0024349 eps=0.0024349 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.145 s]
