pop 2002 delaunay sigma_mc F=29 k=4 | base th=0 | k9c th=1.30966 eps=1.30966 (k9c/k9b+B) | natour not_run th=0 | natcol not_run th=0 [0.186 s]
pop 2002 delaunay sigma_def F=29 k=11 | base th=0 | k9c th=3.10832 eps=3.10832 (k9c/k9b+B) | natour not_run th=0 | natcol not_run th=0 [0.347 s]
pop 2006 quad_random sigma_mc F=87 k=24 | base th=0 | k9c th=0.269454 eps=0.269454 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.669 s]
pop 2006 quad_random sigma_def F=87 k=68 | base th=0 | k9c th=0.502515 eps=0.502515 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.931 s]
pop 2010 voronoi sigma_mc F=33 k=22 | base th=0 | k9c th=1.22283 eps=1.22283 (k9b) | natour not_run th=0 | natcol not_run th=0 [0.529 s]
pop 2010 voronoi sigma_def F=33 k=43 | base th=0 | k9c th=1.08566 eps=1.08566 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.877 s]
pop 2014 delaunay sigma_mc F=31 k=5 | base th=0 | k9c th=0.216891 eps=0.216891 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.164 s]
pop 2014 delaunay sigma_def F=31 k=13 | base th=0 | k9c th=0.59087 eps=0.59087 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.161 s]
pop 2018 quad_random sigma_mc F=57 k=15 | base th=0 | k9c th=0 eps=0 (k9) | natour not_run th=0 | natcol not_run th=0 [0.068 s]
pop 2018 quad_random sigma_def F=57 k=41 | base th=0 | k9c th=0.512962 eps=0.512962 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.541 s]
pop 2022 voronoi sigma_mc F=52 k=41 | base th=0 | k9c th=1.39275 eps=1.39275 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [1.599 s]
pop 2022 voronoi sigma_def F=52 k=81 | base th=0 | k9c th=2.15705 eps=2.15705 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [2.314 s]
pop 2026 delaunay sigma_mc F=30 k=3 | base th=0 | k9c th=2.55221 eps=2.55221 (k9c/k9b+B) | natour not_run th=0 | natcol not_run th=0 [0.323 s]
pop 2026 delaunay sigma_def F=30 k=11 | base th=0 | k9c th=1.08424 eps=1.08424 (k9c/k9b) | natour not_run th=0 | natcol not_run th=0 [0.208 s]
pop 2030 quad_random sigma_mc F=62 k=16 | base th=0 | k9c th=0.431961 eps=0.431961 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.232 s]
