pop 2003 quad_random sigma_mc F=47 k=15 | base th=0 | k9c th=1.58638 eps=1.58638 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.522 s]
pop 2003 quad_random sigma_def F=47 k=32 | base th=0 | k9c th=1.56051 eps=1.56051 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.566 s]
pop 2007 voronoi sigma_mc F=44 k=33 | base th=0 | k9c th=0.583028 eps=0.583028 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.486 s]
pop 2007 voronoi sigma_def F=44 k=61 | base th=0 | k9c th=1.52392 eps=1.52392 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [1.613 s]
pop 2011 delaunay sigma_mc F=31 k=5 | base th=0 | k9c th=1.06803 eps=1.06803 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.23 s]
pop 2011 delaunay sigma_def F=31 k=11 | base th=0 | k9c th=0 eps=0 (k9) | natour not_run th=0 | natcol not_run th=0 [0.037 s]
pop 2015 quad_random sigma_mc F=98 k=27 | base th=0 | k9c th=1.5181 eps=1.5181 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [1.454 s]
pop 2015 quad_random sigma_def F=98 k=78 | base th=0 | k9c th=0.135454 eps=0.135454 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [1.121 s]
pop 2019 voronoi sigma_mc F=25 k=17 | base th=0 | k9c th=0.897348 eps=0.897348 (k9b) | natour not_run th=0 | natcol not_run th=0 [0.275 s]
pop 2019 voronoi sigma_def F=25 k=34 | base th=0 | k9c th=0.568333 eps=0.568333 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.569 s]
pop 2023 delaunay sigma_mc F=62 k=6 | base th=0 | k9c th=0.423838 eps=0.423838 (k9) | natour not_run th=0 | natcol not_run th=0 [0.381 s]
pop 2023 delaunay sigma_def F=62 k=27 | base th=0 | k9c th=0.279654 eps=0.279654 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.38 s]
pop 2027 quad_random sigma_mc F=67 k=13 | base th=0 | k9c th=0.696766 eps=0.696766 (k9) | natour not_run th=0 | natcol not_run th=0 [0.581 s]
pop 2027 quad_random sigma_def F=67 k=46 | base th=0 | k9c th=0.266966 eps=0.266966 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.479 s]
pop 2031 voronoi sigma_mc F=43 k=32 | base th=0 | k9c th=0.0770653 eps=0.0770653 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.246 s]
pop 2031 voronoi sigma_def F=43 k=64 | base th=0 | k9c th=1.21739 eps=1.21739 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [1.391 s]
pop 2035 delaunay sigma_mc F=48 k=4 | base th=0 | k9c th=3.14159 eps=3.14159 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.643 s]
pop 2035 delaunay sigma_def F=48 k=21 | base th=0 | k9c th=0.73765 eps=0.73765 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.331 s]
pop 2039 quad_random sigma_mc F=65 k=18 | base th=0 | k9c th=0.0871337 eps=0.0871337 (k9) | natour not_run th=0 | natcol not_run th=0 [0.154 s]
pop 2039 quad_random sigma_def F=65 k=47 | base th=0 | k9c th=2.73742 eps=2.73742 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [1.111 s]
pop 2043 voronoi sigma_mc F=39 k=28 | base th=0 | k9c th=0.643305 eps=0.643305 (k9b) | natour not_run th=0 | natcol not_run th=0 [0.478 s]
pop 2043 voronoi sigma_def F=39 k=53 | base th=0 | k9c th=0.358775 eps=0.358775 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.854 s]
pop 2047 delaunay sigma_mc F=30 k=3 | base th=0 | k9c th=1.60232 eps=1.60232 (k9c/k9b+B) | natour not_run th=0 | natcol not_run th=0 [0.255 s]
pop 2047 delaunay sigma_def F=30 k=9 | base th=0 | k9c th=0.0474735 eps=0.0474735 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.136 s]
pop 2051 quad_random sigma_mc F=90 k=25 | base th=0 | k9c th=1.71188 eps=1.71188 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [1.43 s]
pop 2051 quad_random sigma_def F=90 k=70 | base th=0 | k9c th=0.223725 eps=0.223725 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [1.119 s]
pop 2055 voronoi sigma_mc F=30 k=22 | base th=0 | k9c th=0.782518 eps=0.782518 (k9) | natour not_run th=0 | natcol not_run th=0 [0.365 s]
pop 2055 voronoi sigma_def F=30 k=44 | base th=0 | k9c th=0.741972 eps=0.741972 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.789 s]
pop 2059 delaunay sigma_mc F=31 k=4 | base th=0 | k9c th=3.12653 eps=3.12653 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.422 s]
pop 2059 delaunay sigma_def F=31 k=9 | base th=0 | k9c th=2.83213 eps=2.83213 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.331 s]
pop 2063 quad_random sigma_mc F=71 k=16 | base th=0 | k9c th=0.563521 eps=0.563521 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.362 s]
pop 2063 quad_random sigma_def F=71 k=53 | base th=0 | k9c th=0.226806 eps=0.226806 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.617 s]
pop 2067 voronoi sigma_mc F=77 k=63 | base th=0 | k9c th=0.198906 eps=0.198906 (k9) | natour not_run th=0 | natcol not_run th=0 [0.738 s]
pop 2067 voronoi sigma_def F=77 k=116 | base th=0 | k9c th=2.01122 eps=2.01122 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [3.897 s]
pop 2071 delaunay sigma_mc F=32 k=4 | base th=0 | k9c th=2.74455 eps=2.74455 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.413 s]
pop 2071 delaunay sigma_def F=32 k=14 | base th=0 | k9c th=0.847471 eps=0.847471 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.247 s]
pop 2075 quad_random sigma_mc F=99 k=31 | base th=0 | k9c th=0.251173 eps=0.251173 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.742 s]
pop 2075 quad_random sigma_def F=99 k=79 | base th=0 | k9c th=0.474617 eps=0.474617 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [1.465 s]
pop 2079 voronoi sigma_mc F=83 k=66 | base th=0 | k9c th=0.462622 eps=0.462622 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.996 s]
pop 2079 voronoi sigma_def F=83 k=129 | base th=0 | k9c th=0.284583 eps=0.284583 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [3.465 s]
pop 2083 delaunay sigma_mc F=72 k=11 | base th=0 | k9c th=0.923896 eps=0.923896 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.528 s]
pop 2083 delaunay sigma_def F=72 k=33 | base th=0 | k9c th=1.15564 eps=1.15564 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.67 s]
pop 2087 quad_random sigma_mc F=91 k=22 | base th=0 | k9c th=0.0264848 eps=0.0264848 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.168 s]
pop 2087 quad_random sigma_def F=91 k=67 | base th=0 | k9c th=0.501531 eps=0.501531 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [1.078 s]
pop 2091 voronoi sigma_mc F=49 k=37 | base th=0 | k9c th=0.617304 eps=0.617304 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.541 s]
pop 2091 voronoi sigma_def F=49 k=70 | base th=0 | k9c th=2.13885 eps=2.13885 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [1.841 s]
pop 2095 delaunay sigma_mc F=30 k=4 | base th=0 | k9c th=3.10545 eps=3.10545 (k9c/k9+B) | natour not_run th=0 | natcol not_run th=0 [0.382 s]
pop 2095 delaunay sigma_def F=30 k=12 | base th=0 | k9c th=0.637878 eps=0.637878 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.191 s]
pop 2099 quad_random sigma_mc F=82 k=21 | base th=0 | k9c th=0.0626944 eps=0.0626944 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.182 s]
pop 2099 quad_random sigma_def F=82 k=62 | base th=0 | k9c th=2.10208 eps=2.10208 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [1.39 s]
pop shard 3 done in 40.166 s -> results/regime/shard_3.csv
